flight_id,pilot_id,departure,arrival
AF7900,5,Charles de Gaulle,Frankfurt Airport
UA1033,3,Los Angeles International,San Francisco International
ET8238,1,Bole International,Hamad International
TG9115,4,Suvarnabhumi,Changi
LA4664,2,São Paulo/Guarulhos International,Miami International
BA5814,2,Heathrow,Amsterdam Airport Schiphol
AF4188,5,Charles de Gaulle,Vienna International
BA1149,4,Heathrow,Charles de Gaulle
LA8565,3,São Paulo/Guarulhos International,Ministro Pistarini International
WN1940,3,Los Angeles International,O'Hare International
SA3457,1,O.R. Tambo International,Chhatrapati Shivaji International
AA6384,3,John F. Kennedy International,Hartsfield-Jackson Atlanta
ET4536,5,Bole International,São Paulo/Guarulhos International
TG7268,1,Suvarnabhumi,Sydney Airport
